,Relaci�n Compra Alquiler,departamento,a�o,valor
255,Alquiler,Lavalleja,2012,16.1
256,Alquiler,Maldonado,2012,20.1
257,Alquiler,Paysandu,2012,18.7
258,Alquiler,Rio Negro,2012,18.6
259,Alquiler,Rivera,2012,17.7
260,Alquiler,Rocha,2012,15.8
261,Alquiler,Salto,2012,18.4
262,Alquiler,San Jos�,2012,16.0
263,Alquiler,Soriano,2012,17.3
264,Alquiler,Tacuaremb�,2012,20.4
265,Alquiler,Treinta y Tres,2012,15.6
266,Compra,Montevideo,2013,13.8
267,Compra,Artigas,2013,6.4
268,Compra,Canelones,2013,11.1
269,Compra,Cerro Largo,2013,7.1
270,Compra,Colonia,2013,9.2
271,Compra,Durazno,2013,8.3
272,Compra,Flores,2013,8.3
273,Compra,Florida,2013,6.4
274,Compra,Lavalleja,2013,10.5
275,Compra,Maldonado,2013,11.0
276,Compra,Paysandu,2013,7.1
277,Compra,Rio Negro,2013,9.2
278,Compra,Rivera,2013,8.4
279,Compra,Rocha,2013,11.2
280,Compra,Salto,2013,8.0
281,Compra,San Jos�,2013,6.9
282,Compra,Soriano,2013,6.2
283,Compra,Tacuaremb�,2013,10.0
284,Compra,Treinta y Tres,2013,8.7
285,Alquiler,Montevideo,2013,21.9
286,Alquiler,Artigas,2013,18.9
287,Alquiler,Canelones,2013,17.1
288,Alquiler,Cerro Largo,2013,15.9
289,Alquiler,Colonia,2013,17.4
290,Alquiler,Durazno,2013,16.8
291,Alquiler,Flores,2013,15.5
292,Alquiler,Florida,2013,16.5
293,Alquiler,Lavalleja,2013,16.5
294,Alquiler,Maldonado,2013,20.2
295,Alquiler,Paysandu,2013,17.3
296,Alquiler,Rio Negro,2013,15.3
297,Alquiler,Rivera,2013,17.7
298,Alquiler,Rocha,2013,15.6
299,Alquiler,Salto,2013,18.5
300,Alquiler,San Jos�,2013,16.5
301,Alquiler,Soriano,2013,15.8
302,Alquiler,Tacuaremb�,2013,18.1
303,Alquiler,Treinta y Tres,2013,17.2
304,Compra,Montevideo,2014,14.3
305,Compra,Artigas,2014,4.3
306,Compra,Canelones,2014,11.9
307,Compra,Cerro Largo,2014,7.6
308,Compra,Colonia,2014,12.2
309,Compra,Durazno,2014,5.7
310,Compra,Flores,2014,7.6
311,Compra,Florida,2014,6.5
312,Compra,Lavalleja,2014,12.0
313,Compra,Maldonado,2014,11.0
314,Compra,Paysandu,2014,8.6
315,Compra,Rio Negro,2014,7.5
316,Compra,Rivera,2014,10.0
317,Compra,Rocha,2014,8.7
318,Compra,Salto,2014,8.0
319,Compra,San Jos�,2014,7.8
320,Compra,Soriano,2014,10.1
321,Compra,Tacuaremb�,2014,8.0
322,Compra,Treinta y Tres,2014,10.5
323,Alquiler,Montevideo,2014,22.5
324,Alquiler,Artigas,2014,17.2
325,Alquiler,Canelones,2014,17.6
326,Alquiler,Cerro Largo,2014,17.6
327,Alquiler,Colonia,2014,20.0
328,Alquiler,Durazno,2014,16.2
329,Alquiler,Flores,2014,17.9
330,Alquiler,Florida,2014,18.2
331,Alquiler,Lavalleja,2014,17.0
332,Alquiler,Maldonado,2014,20.8
333,Alquiler,Paysandu,2014,17.7
334,Alquiler,Rio Negro,2014,15.9
335,Alquiler,Rivera,2014,17.8
336,Alquiler,Rocha,2014,15.4
337,Alquiler,Salto,2014,18.5
338,Alquiler,San Jos�,2014,15.6
339,Alquiler,Soriano,2014,16.0
340,Alquiler,Tacuaremb�,2014,18.5
341,Alquiler,Treinta y Tres,2014,16.4
342,Compra,Montevideo,2015,14.3
343,Compra,Artigas,2015,7.1
344,Compra,Canelones,2015,12.4
345,Compra,Cerro Largo,2015,9.9
346,Compra,Colonia,2015,12.3
347,Compra,Durazno,2015,8.9
348,Compra,Flores,2015,10.5
349,Compra,Florida,2015,6.0
350,Compra,Lavalleja,2015,10.6
351,Compra,Maldonado,2015,12.4
352,Compra,Paysandu,2015,9.4
353,Compra,Rio Negro,2015,9.9
354,Compra,Rivera,2015,8.0
355,Compra,Rocha,2015,10.8
356,Compra,Salto,2015,8.2
357,Compra,San Jos�,2015,10.4
358,Compra,Soriano,2015,9.4
359,Compra,Tacuaremb�,2015,10.9
360,Compra,Treinta y Tres,2015,11.6
361,Alquiler,Montevideo,2015,23.2
362,Alquiler,Artigas,2015,16.2
363,Alquiler,Canelones,2015,19.2
364,Alquiler,Cerro Largo,2015,19.0
365,Alquiler,Colonia,2015,20.0
366,Alquiler,Durazno,2015,19.1
367,Alquiler,Flores,2015,18.2
368,Alquiler,Florida,2015,17.8
369,Alquiler,Lavalleja,2015,18.8
370,Alquiler,Maldonado,2015,21.3
371,Alquiler,Paysandu,2015,18.7
372,Alquiler,Rio Negro,2015,18.4
373,Alquiler,Rivera,2015,19.8
374,Alquiler,Rocha,2015,16.5
375,Alquiler,Salto,2015,18.0
376,Alquiler,San Jos�,2015,16.6
377,Alquiler,Soriano,2015,18.1
378,Alquiler,Tacuaremb�,2015,19.4
379,Alquiler,Treinta y Tres,2015,19.0
380,Compra,Montevideo,2016,14.4
381,Compra,Artigas,2016,9.9
382,Compra,Canelones,2016,13.6
383,Compra,Cerro Largo,2016,7.4
384,Compra,Colonia,2016,10.8
385,Compra,Durazno,2016,7.1
386,Compra,Flores,2016,7.0
387,Compra,Florida,2016,10.7
388,Compra,Lavalleja,2016,9.4
389,Compra,Maldonado,2016,11.2
390,Compra,Paysandu,2016,10.5
391,Compra,Rio Negro,2016,10.4
392,Compra,Rivera,2016,11.8
393,Compra,Rocha,2016,12.4
394,Compra,Salto,2016,9.3
395,Compra,San Jos�,2016,8.6
396,Compra,Soriano,2016,11.7
397,Compra,Tacuaremb�,2016,10.2
398,Compra,Treinta y Tres,2016,10.4
399,Alquiler,Montevideo,2016,22.7
400,Alquiler,Artigas,2016,18.0
401,Alquiler,Canelones,2016,20.1
402,Alquiler,Cerro Largo,2016,18.2
403,Alquiler,Colonia,2016,20.1
404,Alquiler,Durazno,2016,18.8
405,Alquiler,Flores,2016,18.2
406,Alquiler,Florida,2016,19.5
407,Alquiler,Lavalleja,2016,16.1
408,Alquiler,Maldonado,2016,21.4
409,Alquiler,Paysandu,2016,18.7
410,Alquiler,Rio Negro,2016,16.2
411,Alquiler,Rivera,2016,19.1
412,Alquiler,Rocha,2016,17.9
413,Alquiler,Salto,2016,18.1
414,Alquiler,San Jos�,2016,17.7
415,Alquiler,Soriano,2016,19.0
416,Alquiler,Tacuaremb�,2016,18.0
417,Alquiler,Treinta y Tres,2016,17.4
418,Compra,Montevideo,2017,15.5
419,Compra,Artigas,2017,7.1
420,Compra,Canelones,2017,12.4
421,Compra,Cerro Largo,2017,7.5
422,Compra,Colonia,2017,13.1
423,Compra,Durazno,2017,7.9
424,Compra,Flores,2017,12.1
425,Compra,Florida,2017,8.0
426,Compra,Lavalleja,2017,10.4
427,Compra,Maldonado,2017,10.7
428,Compra,Paysandu,2017,8.3
429,Compra,Rio Negro,2017,9.0
430,Compra,Rivera,2017,9.7
431,Compra,Rocha,2017,11.2
432,Compra,Salto,2017,8.6
433,Compra,San Jos�,2017,9.2
434,Compra,Soriano,2017,9.3
435,Compra,Tacuaremb�,2017,13.5
436,Compra,Treinta y Tres,2017,12.9
437,Alquiler,Montevideo,2017,23.3
438,Alquiler,Artigas,2017,17.1
439,Alquiler,Canelones,2017,19.6
440,Alquiler,Cerro Largo,2017,18.6
441,Alquiler,Colonia,2017,18.4
442,Alquiler,Durazno,2017,19.3
443,Alquiler,Flores,2017,20.7
444,Alquiler,Florida,2017,18.0
445,Alquiler,Lavalleja,2017,18.8
446,Alquiler,Maldonado,2017,20.4
447,Alquiler,Paysandu,2017,18.4
448,Alquiler,Rio Negro,2017,15.8
449,Alquiler,Rivera,2017,18.0
450,Alquiler,Rocha,2017,16.0
451,Alquiler,Salto,2017,18.7
452,Alquiler,San Jos�,2017,16.0
453,Alquiler,Soriano,2017,17.1
454,Alquiler,Tacuaremb�,2017,18.3
455,Alquiler,Treinta y Tres,2017,15.6
456,Compra,Montevideo,2018,15.1
457,Compra,Artigas,2018,7.0
458,Compra,Canelones,2018,12.4
459,Compra,Cerro Largo,2018,10.7
460,Compra,Colonia,2018,11.3
461,Compra,Durazno,2018,9.4
462,Compra,Flores,2018,9.9
463,Compra,Florida,2018,8.3
464,Compra,Lavalleja,2018,10.6
465,Compra,Maldonado,2018,11.9
466,Compra,Paysandu,2018,10.5
467,Compra,Rio Negro,2018,11.2
468,Compra,Rivera,2018,10.9
469,Compra,Rocha,2018,11.9
470,Compra,Salto,2018,9.3
471,Compra,San Jos�,2018,9.9
472,Compra,Soriano,2018,9.5
473,Compra,Tacuaremb�,2018,11.0
474,Compra,Treinta y Tres,2018,14.2
475,Alquiler,Montevideo,2018,24.2
476,Alquiler,Artigas,2018,19.6
477,Alquiler,Canelones,2018,20.5
478,Alquiler,Cerro Largo,2018,19.2
479,Alquiler,Colonia,2018,18.5
480,Alquiler,Durazno,2018,18.1
481,Alquiler,Flores,2018,18.3
482,Alquiler,Florida,2018,17.1
483,Alquiler,Lavalleja,2018,19.5
484,Alquiler,Maldonado,2018,21.0
485,Alquiler,Paysandu,2018,17.8
486,Alquiler,Rio Negro,2018,18.3
487,Alquiler,Rivera,2018,19.5
488,Alquiler,Rocha,2018,16.8
489,Alquiler,Salto,2018,18.2
490,Alquiler,San Jos�,2018,17.3
491,Alquiler,Soriano,2018,16.8
492,Alquiler,Tacuaremb�,2018,19.2
493,Alquiler,Treinta y Tres,2018,18.0
