indice_tiempo,medio_de_transporte,pais_destino,turistas_residentes
2016-08,Fluvial/Marítima,Uruguay,27354.9
2016-08,Fluvial/Marítima,EE.UU. y Canadá,465.1
2016-08,Fluvial/Marítima,Resto de América,753.6
2016-08,Fluvial/Marítima,Europa,563.1
2016-08,Fluvial/Marítima,Resto del mundo,43.6
2016-09,Aérea,Bolivia,3508.3
2016-09,Aérea,Brasil,48683.5
2016-09,Aérea,Chile,36124.1
2016-09,Aérea,Paraguay,3065
2016-09,Aérea,Uruguay,5946.4
2016-09,Aérea,EE.UU. y Canadá,73063.1
2016-09,Aérea,Resto de América,57872.4
2016-09,Aérea,Europa,72360.4
2016-09,Aérea,Resto del mundo,11775.8
2016-09,Terrestre,Bolivia,34528.7
2016-09,Terrestre,Brasil,59204.5
2016-09,Terrestre,Chile,112551.2
2016-09,Terrestre,Paraguay,63970.4
2016-09,Terrestre,Uruguay,36017.3
2016-09,Terrestre,EE.UU. y Canadá,313.1
2016-09,Terrestre,Resto de América,2622.9
2016-09,Terrestre,Europa,372.1
2016-09,Terrestre,Resto del mundo,167.4
2016-09,Fluvial/Marítima,Bolivia,7584
2016-09,Fluvial/Marítima,Brasil,4563.9
2016-09,Fluvial/Marítima,Chile,49.1
2016-09,Fluvial/Marítima,Paraguay,8795.3
2016-09,Fluvial/Marítima,Uruguay,30726.8
2016-09,Fluvial/Marítima,EE.UU. y Canadá,301.4
2016-09,Fluvial/Marítima,Resto de América,418.5
2016-09,Fluvial/Marítima,Europa,328.3
2016-09,Fluvial/Marítima,Resto del mundo,24.2
2016-10,Aérea,Bolivia,3050.4
2016-10,Aérea,Brasil,67638.2
2016-10,Aérea,Chile,45379
2016-10,Aérea,Paraguay,4081.7
2016-10,Aérea,Uruguay,7047.1
2016-10,Aérea,EE.UU. y Canadá,80992.2
2016-10,Aérea,Resto de América,59598.2
2016-10,Aérea,Europa,78379.3
2016-10,Aérea,Resto del mundo,10665
2016-10,Terrestre,Bolivia,29937.1
2016-10,Terrestre,Brasil,62495.3
2016-10,Terrestre,Chile,160443.1
2016-10,Terrestre,Paraguay,81566
2016-10,Terrestre,Uruguay,51171.3
2016-10,Terrestre,EE.UU. y Canadá,75.3
2016-10,Terrestre,Resto de América,989
2016-10,Terrestre,Europa,140.3
